SCLC-A,SCLC-A2,SCLC-N,SCLC-P,SCLC-Y
,,,,MPP4
,,,,IL7R
,,,,FBXW10
,,,,F2RL2
,,,,ZNF469
,,,,ROBO4
,,,,CCDC42
,,,,C3AR1
,,,,SPANXA1
,,,,VGLL2
,,,,VSTM1
,,,,PLK5
,,,,ANKRD2
,,,,CH25H
,,,,ELANE
,,,,MMP19
,,,,TNFAIP6
,,,,BIN2
,,,,HIPK4
,,,,GPR17
,,,,B4GALNT2
,,,,ORM1
,,,,FGA
,,,,KCTD4
,,,,CCDC63
,,,,TM4SF4
,,,,SPINK6
,,,,TCTEX1D4
,,,,HAS2
,,,,EVI2B
,,,,SELE
,,,,ROS1
,,,,IL31RA
,,,,SEMG1
,,,,CLECL1
,,,,FDCSP
